ItemId,Name,Path,CompltePath,Comment,AIComment,Tag0,Tag1,Tag2,Tag3,Tag4,Tag5,Location,Type,CTimeStamp,MTimeStamp,ATimeStamp,Size
,1-func.py,.,./1-func.py,,,,,,,,,Work,File, 1577298452.479428 , 1577298853.5161173 , 1577298452.479428 , 709
,1-hello.py,.,./1-hello.py,,,,,,,,,Work,File, 1577154244.737468 , 1577898095.4028592 , 1577154244.737468 , 599
,1-in-list.py,.,./1-in-list.py,,,,,,,,,Work,File, 1577727838.6322484 , 1577751601.8304913 , 1577727838.7422445 , 429
,1-input.py,.,./1-input.py,,,,,,,,,Work,File, 1577897376.1982665 , 1577298489.2322187 , 1577897376.1982665 , 164
,2-dict.py,.,./2-dict.py,,,,,,,,,Work,File, 1577154322.646638 , 1577728196.7133303 , 1577154322.646638 , 1403
,3-file.py,.,./3-file.py,,,,,,,,,Work,File, 1577154406.8986042 , 1577154423.0114923 , 1577154406.8986042 , 170
,4-import.py,.,./4-import.py,,,,,,,,,Work,File, 1577154480.1840682 , 1577154988.3202696 , 1577154480.1840682 , 212
,5-class.py,.,./5-class.py,,,,,,,,,Work,File, 1576637098.3599102 , 1577155496.3472722 , 1576637098.3599102 , 2110
,6-db.py,.,./6-db.py,,,,,,,,,Work,File, 1577292771.886368 , 1577297786.753863 , 1577292771.886368 , 577
,chinook.db,.,./chinook.db,,,,,,,,,Work,File, 1448812382.0 , 1577483264.9463294 , 1577292401.021097 , 888832
,FileUtil.py,.,./FileUtil.py,,,,,,,,,Work,File, 1577891890.4606593 , 1577910444.9884276 , 1577891890.4606593 , 1878
,Flask,.,./Flask,,,,,,,,,Work,Folder, 1577315780.550827 , 1577315787.824808 , 1577315787.824808 , 0

,1-hello.py,./Flask,./Flask/1-hello.py,,,,,,,,,Work,File, 1577315787.824808 , 1577315790.1658008 , 1577315787.824808 , 160
,imp_dir_4,.,./imp_dir_4,,,,,,,,,Work,Folder, 1576634263.924334 , 1576635477.199798 , 1576635477.199798 , 0

,g3.py,./imp_dir_4,./imp_dir_4/g3.py,,,,,,,,,Work,File, 1576634308.9766605 , 1576635960.0210364 , 1576634308.9766605 , 62
,isdn.py,./imp_dir_4,./imp_dir_4/isdn.py,,,,,,,,,Work,File, 1576634291.4107625 , 1576635903.4594069 , 1576634291.4107625 , 73
,pots.py,./imp_dir_4,./imp_dir_4/pots.py,,,,,,,,,Work,File, 1576634254.8363862 , 1576635874.2295904 , 1576634254.8363862 , 73
,__init__.py,./imp_dir_4,./imp_dir_4/__init__.py,,,,,,,,,Work,File, 1576634851.1833186 , 1577154976.1803553 , 1576634851.1833186 , 96
,__pycache__,./imp_dir_4,./imp_dir_4/__pycache__,,,,,,,,,Work,Folder, 1576635477.199798 , 1577154995.2792187 , 1577154995.2792187 , 0

,g3.cpython-38.pyc,./imp_dir_4/__pycache__,./imp_dir_4/__pycache__/g3.cpython-38.pyc,,,,,,,,,Work,File, 1576635974.1969504 , 1576635974.1969504 , 1576635974.1969504 , 241
,isdn.cpython-38.pyc,./imp_dir_4/__pycache__,./imp_dir_4/__pycache__/isdn.cpython-38.pyc,,,,,,,,,Work,File, 1576635931.4232302 , 1576635931.42423 , 1576635931.4232302 , 254
,pots.cpython-38.pyc,./imp_dir_4/__pycache__,./imp_dir_4/__pycache__/pots.cpython-38.pyc,,,,,,,,,Work,File, 1576635877.2575645 , 1576635877.2585704 , 1576635877.2575645 , 254
,__init__.cpython-38.pyc,./imp_dir_4/__pycache__,./imp_dir_4/__pycache__/__init__.cpython-38.pyc,,,,,,,,,Work,File, 1577154995.2772183 , 1577154995.2782125 , 1577154995.2772183 , 256
,imp_eg_4.py,.,./imp_eg_4.py,,,,,,,,,Work,File, 1576633518.195407 , 1576633553.135249 , 1576633518.3514154 , 61
,items.export.csv,.,./items.export.csv,,,,,,,,,Work,File, 1577747120.788061 , 1577747820.6867764 , 1577747120.788061 , 2055
,items.export.csv.1,.,./items.export.csv.1,,,,,,,,,Work,File, 1577743074.1690433 , 1577747030.2603648 , 1577743074.1690433 , 2055
,items.import.csv,.,./items.import.csv,,,,,,,,,Work,File, 1577744567.1092 , 1577753195.3680682 , 1577749771.8478286 , 2032
,items.import.csv.1,.,./items.import.csv.1,,,,,,,,,Work,File, 1577740933.0207136 , 1577744451.871997 , 1577744451.8610222 , 2062
,items.import.csv.2,.,./items.import.csv.2,,,,,,,,,Work,File, 1577744567.1092 , 1577747040.382297 , 1577744567.1092 , 2032
,my.csv,.,./my.csv,,,,,,,,,Work,File, 1577896912.270298 , 1577910456.609363 , 1577896912.270298 , 0
,MyDir,.,./MyDir,,,,,,,,,Work,Folder, 1577892978.2755725 , 1577892978.2755725 , 1577892978.2755725 , 0

,MyOrg.db,.,./MyOrg.db,,,,,,,,,Work,File, 1577727353.0 , 1577839012.6720722 , 1577746454.6438026 , 28672
,MyOrg.db.old,.,./MyOrg.db.old,,,,,,,,,Work,File, 1577727353.0 , 1577745831.4793117 , 1577727539.7778027 , 12288
,org.py,.,./org.py,,,,,,,,,Work,File, 1577155879.9630637 , 1577838889.2319431 , 1577155879.9630637 , 14750
,OrgReadme.docx,.,./OrgReadme.docx,,,,,,,,,Work,File, 1577725390.3640501 , 1577748123.674 , 1577748123.6156673 , 23040
,readme.txt,.,./readme.txt,,,,,,,,,Work,File, 1577155574.7300112 , 1577156838.810857 , 1577155574.7300112 , 12
,server.py,.,./server.py,,,,,,,,,Work,File, 1576439650.0 , 1576439650.0 , 1577292400.9871008 , 2549
,test.db,.,./test.db,,,,,,,,,Work,File, 1577292798.4258418 , 1577292798.4258418 , 1577292798.4258418 , 0
,testfile,.,./testfile,,,,,,,,,Work,Folder, 1577818345.2576752 , 1577831617.6168442 , 1577831617.6168442 , 0

,items.export.csv,./testfile,./testfile/items.export.csv,,,,,,,,,Work,File, 1577818853.7379117 , 1577839012.38008 , 1577821755.2422814 , 2080
,items.import.csv,./testfile,./testfile/items.import.csv,,,,,,,,,Work,File, 1577818439.010327 , 1577827267.455227 , 1577818552.7599235 , 2057
,update.export.1.csv,./testfile,./testfile/update.export.1.csv,,,,,,,,,Work,File, 1577831617.448852 , 1577839012.5680728 , 1577831617.448852 , 2080
,update.export.2.csv,./testfile,./testfile/update.export.2.csv,,,,,,,,,Work,File, 1577831617.6168442 , 1577839012.6770804 , 1577831617.6168442 , 2415
,update.import.csv,./testfile,./testfile/update.import.csv,,,,,,,,,Work,File, 1577827655.2551048 , 1577830876.8545976 , 1577830876.8415966 , 2389
,unittest_org.py,.,./unittest_org.py,,,,,,,,,Work,File, 1577810531.7622626 , 1577838999.0731719 , 1577810531.8852603 , 5574
,WebApp,.,./WebApp,,,,,,,,,Work,Folder, 1577316258.7888672 , 1577320727.3472917 , 1577320727.3472917 , 0

,index.html,./WebApp,./WebApp/index.html,,,,,,,,,Work,File, 1577316267.2548375 , 1577316268.2048333 , 1577316267.2548375 , 436
,logo.png,./WebApp,./WebApp/logo.png,,,,,,,,,Work,File, 1577320726.0942988 , 1577320727.6972888 , 1577320707.163756 , 23101
,scripts.js,./WebApp,./WebApp/scripts.js,,,,,,,,,Work,File, 1577320193.0287654 , 1577321766.2033525 , 1577320193.2327669 , 1277
,style.css,./WebApp,./WebApp/style.css,,,,,,,,,Work,File, 1577316320.4476337 , 1577462300.1804595 , 1577316320.683629 , 1434
,__pycache__,.,./__pycache__,,,,,,,,,Work,Folder, 1576633558.2252254 , 1577838964.8064096 , 1577838964.8064096 , 0

,imp_eg_4.cpython-38.pyc,./__pycache__,./__pycache__/imp_eg_4.cpython-38.pyc,,,,,,,,,Work,File, 1577154919.428788 , 1577154919.4297874 , 1577154919.428788 , 246
,org.cpython-38.pyc,./__pycache__,./__pycache__/org.cpython-38.pyc,,,,,,,,,Work,File, 1577838964.804408 , 1577838964.8054104 , 1577838964.804408 , 10181
,pots.cpython-38.pyc,./__pycache__,./__pycache__/pots.cpython-38.pyc,,,,,,,,,Work,File, 1576634606.75312 , 1576634606.75412 , 1576634606.75312 , 248
,support.cpython-38.pyc,./__pycache__,./__pycache__/support.cpython-38.pyc,,,,,,,,,Work,File, 1576633558.226229 , 1576633558.227225 , 1576633558.226229 , 245
